,ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
5,002297.SZ,20180328,20180331,扭亏,322.97,434.45,800.0,1200.0,预计:净利润800-1200,1、因公司一季度航空、航天产品收入较去年同期有较大幅度增长，致使公司利润有较大幅度提高； 2、合资公司较去年同期亏损减少。
6,002297.SZ,20180131,20171231,首亏,-1180.7937,-974.1713,-6800.0,-5500.0,预计:净利润-6800~-5500,1、第四季度产销未达预期。公司控股子公司湖南博云汽车制动材料有限公司因下游客户行业原因，导致第四季度销售低于预期，从而亏损继续加大。2、公司对账龄较长应收账款的可收回性以及库龄较长存货的生产销售可能性于资产负债表日进行了合理评估，相应计提的减值准备增加。
0,002023.SZ,20190129,20181231,预增,90.0,110.0,6530.0,7217.0,预计:净利润6530-7217,报告期内，公司加强管理，经营效率不断提升，经营状况稳步向好，以及非经常性损益变动影响，综合上述因素，公司向上修正2018年度业绩。
1,002023.SZ,20181026,20181231,略增,0.0,30.0,3437.0,4468.0,预计:净利润3437-4468,系公司业务拓展形成的经营利润和出售部分可供出售金融资产投资收益对当期净利润影响。
2,002023.SZ,20180828,20180930,略增,0.0,30.0,4410.0,5732.0,预计:净利润4410-5732,系公司业务拓展形成的经营利润和出售部分可供出售金融资产投资收益对当期净利润影响。
3,002023.SZ,20180425,20180630,预增,30.0,60.0,3000.0,3693.0,预计:净利润3000-3693,2018年一季度公司出售部分可供出售金融资产投资收益对当期净利润影响较大。
4,002023.SZ,20180327,20180331,预增,190.0,220.0,3152.0,3478.0,预计:净利润3152-3478,2018年一季度公司出售部分可供出售金融资产投资收益对当期净利润影响较大。 
0,300397.SZ,20190410,20190331,扭亏,253.988,292.4851,2000.0,2500.0,预计:净利润2000-2500,公司报告期内业绩盈利的主要原因系收入较上年同期大幅增长。军品业务方面：报告期内军品订单增加，军品收入较上年同期大幅增长；民品业务方面：公司5G相关产品已逐步形成了持续、稳定的订单，报告期内通信电子业务收入也较上年同期大幅增长。
1,300397.SZ,20190125,20181231,首亏,-321.1389,-314.0054,-15500.0,-15000.0,预计:净利润-15500~-15000,"业绩亏损的原因：受主要客户采购计划延迟下达的影响，公司军品订单较上年同期减少；同时因为公司战略转型升级、研发投入持续增加，公司民品市场正在拓展中，尚未达到预期，导致公司本年度业绩发生大幅亏损。预计2018年1-12月公司的非经常性损益影响归属母公司净利润约为1,349.69万元人民币。"
2,300397.SZ,20181013,20180930,首亏,-358.9301,-341.3158,-7350.0,-6850.0,预计:净利润-7350~-6850,报告期内，销售收入较上年同期减幅较大，主要原因为军品合同暂未达到收入确认条件；公司投资收益总额也较上年同期减少，同时，资产减值损失较上年同期增加，致使本期业绩下降。
3,300397.SZ,20180714,20180630,首亏,-362.6812,-338.1315,-5350.0,-4850.0,预计:净利润-5350~-4850,报告期内，公司大力拓展军民品市场，军品业务国际国内市场稳步推进，公司军品业务根据年度经营计划正在进行积极备产，同时公司参与了国内军方的多个预研项目，国际市场已形成多项意向订单，军品业务逐渐趋好，由于军品产品生产周期长、合同执行周期较长，报告期内正在执行的合同暂不具备确认收入的条件。民品业务方面，公司积极推进军民融合相关新产品的市场推广和销售，已初步打开新局面，因受中兴通讯禁售事件的影响，通信电子业务市场销售方面略有下降，增长未达预期。同时，较上年同期公司投资收益也有所减少。为提升公司经营业绩，报告期内公司成立了商洛天和防务技术有限公司、新疆天和防务技术有限公司，加快推进“数字商洛”示范项目，推进公司军民融合数据产业尽快取得市场成果，同时加快实施军民融合相关新产品“智慧哨兵、太赫兹安检、空管空防一体化、军民融合感知系统”等产品在商洛和新疆等重点市场的推广和销售。
4,300397.SZ,20180410,20180331,首亏,-206.1024,-168.2087,-1400.0,-900.0,预计:净利润-1400~-900,公司第一季度业绩亏损的主要原因系签订的军品合同没有达到收入确认条件，暂时未确认收入。预计 2018 年 1-3 月非经常性损益对公司净利润的影响金额约为176.28 万元。
5,300397.SZ,20180130,20171231,扭亏,193.3579,200.4305,6600.0,7100.0,预计:净利润6600-7100,"本次业绩修正的主要原因为：报告期内，公司处置了全资子公司西安天和军民融合创新技术研究有限公司80%的股权，经在西部产权交易所公开挂牌转让，最终成交价格为人民币18,000万元，相应增加了投资收益，导致该事项最终实现收益与原预计收益有所差异。预计2017年1-12月非经常性损益对公司净利润的影响金额约为11,500万元人民币。"
0,600862.SH,20190118,20181231,预增,270.0,270.0,30888.0,30888.0,预计:净利润30888,"（一）报告期内，公司聚焦年度经营目标，复合材料业务收入呈现稳定增长态势，净利润同比增加约5,100万元；机床业务同比减亏约4,600万元；房地产业务虽然收入规模收窄，受市场影响并加强管理提升，净利润同比增加约1,400万元。（二）报告期内，原重组时因构成业务的反向收购产生的合并口径评估增值摊销额同比减少约4,370万元。（三）上年同期计提职工内退福利8,855万元，本期没有发生。"
0,300581.SZ,20190410,20190331,扭亏,244.8068,353.4118,200.0,350.0,预计:净利润200-350,报告期内，公司坚持既定的发展战略，各项经营计划有序开展，本报告期经营情况良好，营业收入和净利润较上年同期显著增长，预计2019年第一季度净利润较上年同期扭亏为盈。预计本报告期非经常性损益对净利润的影响约为690.62万元。
1,300581.SZ,20190130,20181231,略增,15.41,45.09,5600.0,7040.0,预计:净利润5600-7040,"报告期内，公司继续坚持既定的发展战略，各项经营计划继续有序的开展，由于公司研制生产军品，2018年度收到西安高新技术开发区国家税务局下发的《退（抵）税申请审批表》，取得增值税退税2,216.38万元，增值税抵税749.10万元，从而使得报告期内其他收益和营业外收入大幅度增加，2018年归属于上市公司股东净利润较上年同期上升。预计2018年度非经常性损益对净利润的影响金额约为2,898.72万元。"
2,300581.SZ,20181013,20180930,预增,33.04,59.65,3000.0,3600.0,预计:净利润3000-3600,"报告期内，公司坚持既定的发展战略，各项经营计划有序开展。经营情况保持稳定，经营模式未发生重大变化。前三季度预计归属于上市公司股东净利润较上年同期上升,主要原因如下：根据财政部和国家税务总局的相关规定，公司销售符合条件的军工产品经主管税务机关批准后，采取退税或抵税的方式予以免征相应的增值税额，截至本报告期末实际抵免税金额为369.24万元；直接退税金额为2,216.38万元，并于2018年7月24日收到该款项。报告期内，预计非经常性损益对净利润的影响金额约为2,400万。"
3,300581.SZ,20180714,20180630,预减,-69.81,-45.67,500.0,900.0,预计:净利润500-900,报告期内，公司坚持既定的发展战略，各项经营计划有序开展。经营情况保持稳定，经营模式未发生重大变化。上半年预计归属于上市公司股东净利润较上年同期下降的主要原因是由于客户的采购计划调整，造成部分订单需要延迟交付，从而导致公司上半年的业绩较上年同期有所下降。报告期内，预计非经常性损益对净利润的影响金额约为151.03万。
4,300581.SZ,20180410,20180331,首亏,-155.9914,-126.6626,-210.0,-100.0,预计:净利润-210~-100,报告期内，公司坚持既定的发展战略，各项经营计划有序开展，预计2018年第一季度净利润较上年同期下降，导致下降的主要原因是由于行业管理的原因使得产品在按期交付后部分处于待验收和正在验收状态，未达到收入的确认标准，随着后续产品完成验收，净利润将扭亏为盈。
5,300581.SZ,20180130,20171231,续盈,-14.18,4.89,4500.0,5500.0,预计:净利润4500-5500,报告期内，公司坚持既定的发展战略，各项经营计划继续有序的开展，由于2017年部分航材备件订单推后至2018年度执行，使得报告期内公司主营业务收入较上年同期有所下降；但公司专业技术服务收入较上年同期有较大幅度上升，所以预计净利润与上年同期基本持平。预计2017年度非经常性损益对净利润的影响金额约为240万元。
0,002413.SZ,20181030,20181231,略增,10.0,50.0,13482.0,18384.0,预计:净利润13482-18384,公司各项业务发展良好，同时，苏州博海创业微系统有限公司自2017年8月份纳入公司合并报表，对公司业绩有所贡献。
1,002413.SZ,20180725,20180930,略增,0.0,50.0,7608.0,11412.0,预计:净利润7608-11412,公司主营业务稳步发展博海创业于2017年8月份纳入公司合并报表对公司业绩有所贡献。 
2,002413.SZ,20180428,20180630,略增,0.0,50.0,5046.0,7569.0,预计:净利润5046-7569,报告期内，公司业务发展良好，同时苏州博海创业微系统有限公司于2017年8月份开始纳入公司合并报表，对公司业绩有所贡献。
0,002933.SZ,20181022,20181231,略增,2.95,20.11,12000.0,14000.0,预计:净利润12000-14000,公司围绕主营业务，稳步推进年度经营指标，主营业务收入同比增加，利润相应增加。
1,002933.SZ,20180827,20180930,续盈,-1.86,9.82,8400.0,9400.0,预计:净利润8400-9400,
2,002933.SZ,20180807,20181231,略增,2.95,20.11,12000.0,14000.0,预计:净利润12000-14000,公司围绕主营业务，稳步推进年度经营指标，主营业务收入同比增加，利润相应增加。
0,600391.SH,20190427,20190630,续亏,,,,,续亏,公司预计外贸燃机市场持续下降对主营业务收入的影响在短期内无法消除，加之公司本期产品结构调整，相关产能的提升以及管理改革的成效暂未显现，在2019年第二季度扭转目前亏损局面难度较大。
1,600391.SH,20190131,20181231,首亏,-740.0143,-740.0143,-30000.0,-30000.0,预计:净利润-30000,"一）主营业务影响。受全球燃机市场持续低迷影响，附加值较高的外贸燃机产品收入同比减少，降幅达50%以上；外贸航空产品收入有所增长，但由于材料费用较高，其贡献仍无法弥补外贸燃机产品利润的减少，公司本期转包产品毛利大幅下降。（二）非经营性损益的影响。1、自查补缴出口退税免抵税额对应的城建税及附加税，产生的滞纳金影响当期非经常性损益（营业外支出），影响金额为-2,079万元；（详见公司于2019年1月19日在上海证券交易所网站（www.sse.com.cn）及中国证券报、上海证券报、证券时报、证券日报披露的《关于自查补缴税款的公告》（临2019-005））2、产品质量损失，影响当期非经常性损益（营业外支出），影响金额约为-13,800万元。经公司与客户共同清查认定，公司部分已交付外贸产品存在质量问题。根据目前与客户协商的进展情况，公司需承担相关问题产品所造成的质量损失，据测算，预估质量损失约为13,800万元。相关质量整改工作已基本完成，并取得客户认可与谅解，未对公司与客户的长期合作造成重大影响。截至目前，公司已取得相应客户的2019年订单较2018年全年实际交付金额增长25%。根据《企业会计准则》规定，上述预估质量损失将计入公司2018年度营业外支出及预计负债。（三）会计处理的影响。上述自查补缴出口退税免抵税额对应的城建税及附加税，拟作为前期会计差错，公司拟采用追溯重述法调整更正相应年度财务报表。"
2,600391.SH,20181030,20181231,首亏,,,,,首亏,公司预计外贸燃机市场持续下降对主营收入的影响在短期内无法消除，加之面临中美贸易摩擦等不利因素.
3,600391.SH,20180825,20180930,首亏,,,,,首亏,公司预计外贸燃机市场持续下降对主营收入的影响在短期内无法消除，加之面临中美贸易争端等不利因素.
0,300424.SZ,20190410,20190331,预减,-100.0,-70.0,0.0,59.0,预计:净利润0-59,1.报告期内，设备研制与保障业务受到客户机构调整等因素影响导致合同签署及付款延后，受此影响公司净利润较上年同期产生短暂回落。2.报告期内，为保持和扩大技术领先优势，公司持续加大对产品研发的投入力度，研发费用较去年同期增长约100%，影响了公司当期利润。3.报告期内，航空维修及服务业务因少数客户短期资金流动性问题致公司资产减值增加。4.报告期内，公司非经常性损益对净利润的影响额约为142.40万元，主要为政府补助款。
1,300424.SZ,20190130,20181231,略减,-25.0,-10.0,5002.0,6003.0,预计:净利润5002-6003,"报告期内，公司整体业务规模实现增长，营业收入较上年同期有所增长，但受下述因素影响归属于上市公司股东净利润较上年同期有所下降：1.设备研制与保障业务受到客户机构调整等因素影响导致部分合同签署及付款进度延后，未能实现在本报告期确认收入。2.航空维修及服务业务一方面因并购爱沙尼亚Magnetic飞机维修有限公司产生中介、利息支出等费用约2,200万元于本报告期内支付，影响了本期利润；另一方面，虽然2018年度国内机队数量整体呈上升趋势，航空维修市场空间仍处于增长阶段，但由于国内市场竞争日趋激烈致公司毛利率下滑，对公司报告期内净利润产生负面影响。公司积极利用Magnetic飞机维修有限公司与公司业务的互补性优势，自2018年末开始引进欧洲航空公司客户作为公司国内航空维修及服务业务的有效补充，未来将充分发挥境内外协同效应。3.控股子公司从事的新业务虽已产生营业收入，但尚未形成规模，报告期内未实现盈利，对公司净利润产生一定影响。报告期内，预计非经常性损益对净利润的影响金额约为1,321.98万元，主要为政府补助款。"
2,300424.SZ,20181013,20180930,略增,5.0,10.0,4286.0,4491.0,预计:净利润4286-4491,"1.报告期内，设备研制与保障业务受到客户内部机构调整等因素影响致业务进度略有延后；民机业务方面爱沙尼亚Magnetic飞机维修有限公司经营情况良好，与公司现有业务产生协同效应，对公司净利润产生积极影响。2.截止至9月底因MMRO并购项目发生的中介费用及财务费用累计达1,600万元左右，影响本期利润。3.报告期内，预计非经常性损益对净利润的影响金额约为1,159.73万元，主要为政府补助款。"
3,300424.SZ,20180712,20180630,略增,30.0,50.0,2826.0,3261.0,预计:净利润2826-3261,"1.军机业务实现持续、稳定增长：随着国防及军队改革措施落地后军方采购工作逐渐恢复，其对公司前期军机业务的影响逐步消除，公司自动测试设备、机载设备订货任务回升。公司获益于前期自动测试设备某重点客户中标及直升机健康管理系统批量投产，报告期内，科研生产任务加速，使得军机业务实现了稳定、持续增长；公司正在加快中标产品的批产工作，下半年逐步实现新机型产品及直升机健康管理系统批量交付。2.民机业务实现快速增长：公司利用自身深耕民机维修领域多年积累的行业优势，积极延伸产业链、拓展海外市场。报告期内，公司完成收购爱沙尼亚Magnetic飞机维修有限公司（以下简称“MMRO”）100%股权，公司以此次收购作为民机维修及保障全产业链布局的起点，未来将全面整合全球民航维修业务。完成收购后，MMRO经营情况良好，与公司现有业务产生协同效应，大幅增厚了公司民航业绩。3.受益于国家“军民融合”发展战略影响，公司作为优质民参军公司，报告期内获得的政府补助较上年同期增长，合计获得1096.25万元。4.报告期内，预计非经常性损益对净利润的影响金额约为1,107.04万元，主要为政府补助款。"
4,300424.SZ,20180410,20180331,略增,0.0,10.0,183.0,202.0,预计:净利润183-202,1、报告期内，公司根据年度经营计划，推进成本管控，提高生产效率，归属上市公司股东的净利润较上年同期上升，主要原因是收入结构变化，毛利率较同期略有增长所致。2、报告期内，公司非经常性损益对净利润的影响额约为70万元，主要为政府补助款和理财收益。
5,300424.SZ,20180130,20171231,略增,0.0,10.0,5986.0,6585.0,预计:净利润5986-6585,"1,2017年,根据年度经营计划,公司积极推进各项业务,加大研发投入与内部管理,提高生产效率;公司归属上市公司股东的净利润较上年同期上升,主要原因是设备研制及保障的业务量相较上年同期有所恢复,导致净利润上升.2,报告期内,公司非经常性损益对净利润的影响额约为1,290.32万元,主要为政府补助款."
0,000768.SZ,20181012,20180930,预增,73.2141,120.4551,22000.0,28000.0,预计:净利润22000-28000,公司本期交付的航空产品较上年同期增加，利润相应增加。
1,000768.SZ,20180713,20180630,预增,50.6276,96.4708,13800.0,18000.0,预计:净利润13800-18000,公司本期交付的航空产品较上年同期增加，利润相应增加。
2,000768.SZ,20180413,20180331,扭亏,105.695,148.9769,500.0,4300.0,预计:净利润500-4300,公司本期交付的航空产品较上年同期增加，利润相应增加。
0,300159.SZ,20190410,20190331,首亏,-207.2492,-199.3049,-5400.0,-5000.0,预计:净利润-5400--5000,2019年第一季度业绩变动主要原因如下：1、航空航天业务一方面由于今年已签订合同金额较往年减少较多，导致收入确认不如去年。另一方面今年的借款以及融资租赁均有所增长，导致财务费用增长较多。2、农机业务上年同期公司有处置闲置资产所得收益，本报告期受制于农机行业发展调整因素，以及一季度为生产和销售的淡季。报告期内，公司非经常性损益对净利润的影响金额约为330万元。
1,300159.SZ,20190131,20181231,续盈,-25.0,5.0,30408.0,42571.0,预计:净利润30408-42571,1.1航空航天业务公司航空航天板块由于受到某些主要客户采购计划延迟下达的影响以及某些项目未能达到收入确认条件，导致军品收入较上年同期下降。同时，因公司深度推进与国内主机厂的军民融合战略合作，前期投入较大，成本费用增高，导致业绩下滑。1.2农机业务近3年来，农机行业经历了减速、下沉、探底的巨大波动，2018年度国内的农机市场延续了这种态势，农机行业仍然处于改革调整期。虽然玉米收购价格同比有一定程度的上升，市场对公司主营产品玉米收获机需求有一定好转，公司农机业务收入同比增长，但在行业整体下滑的背景下，总体经营环境还很不理想，因此公司农机业务仍然处于亏损状态。2、2018年度非经常性损益对净利润的影响金额约1.4亿元。
2,300159.SZ,20181015,20180930,略增,20.0,40.0,30802.0,35935.0,预计:净利润30802-35935,2018年1-9月，公司经营业绩实现了稳定增长，主要原因系：按照年初经营计划有序推进各项工作，营业收入稳定增长所致。其中航空航天板块主要业务领域经营业绩稳步增长，着力加强全球市场的客户管理，推动公司业务发展规模。农机板块受行业缓慢复苏影响，农机销售业务持续向好，销售收入同比增加。公司预计2018年前三季度非经常性损益对净利润的影响金额约为1亿元左右。
3,300159.SZ,20180706,20180630,预增,90.0,120.0,17373.0,20116.0,预计:净利润17373-20116,"2018年上半年公司航空航天板块中军品订单取得较大增长，同时公司加强项目管理，提升了与客户业务结算的及时性，使得2018年上半年主营业务收入取得较大幅度增长。农机板块受国家农机产业政策的影响，仍处于深度调整状态。2018年上半年农机主营业务收入与上年同期基本持平，本公司农机产品以收获机械为主，销售主要集中在下半年度，同时公司通过处置农机板块闲置资产，优化资产结构，积极寻求战略投资者。2018年上半年公司非经常性损益对净利润的影响金额约8,000万元左右。"
4,300159.SZ,20180324,20180331,预增,7336.0,7782.0,5000.0,5300.0,预计:净利润5000-5300,航空航天业务收入大幅增长，农机板块对闲置资产进行了处置。具体内容如下：1、航空航天业务航空航天产业作为重点发展的未来产业之一，国家从多个领域发力加速航空航天产业发展，同时积极推进军民融合产业政策。公司作为国内技术领先，生产规模较大的民营企业，各项业务快速增长，营业收入大幅增加。现预计2018年第一季度营业收入将达到1.1亿元，与上年同期相比增加116%。此外，公司不断加大研发投入，提高产品质量和技术水平，从而提升企业盈利能力。2、农机业务公司为了优化资源配置，提高资金利用率，对农机板块闲置资产进行了处置，从而实现了让现有资产高速、高效运转，同时也降低了企业的经营风险。报告期内，公司非经常性损益对净利润的影响金额约为6，000万元。
5,300159.SZ,20180131,20171231,预增,50.0,70.0,37641.0,42659.0,预计:净利润37641-42659,"空航天业务收入和利润增长，农机业务收入和利润下降。具体内容如下：1.1航空航天业务在我国大力发展航空航天和推动军民融合的产业背景下，公司作为国内技术加工能力最大的民营企业，订单大幅增长，同时公司审时度势，积极拓展民用国外航空转包市场；加大原创性技术开发投入，提升明日宇航技术先导型企业的含金量。公司航空航天产品业务订单快速增加，营业收入和利润大幅增长。1.2农机业务由于粮食价格下滑、国二升国三成本上升、补贴额度下降以及上一年度国二农机大量去库存等原因，2017年度国内的农机市场延续了去年下滑的走势，且下滑更为严重，因此公司农机业务收入和利润同比继续大幅下降。1.3投资业务本年度投资公司各项亏损继续加大亏损至740万元，主要为薪酬支出、差旅费等各项费用开支增大所致。2、 2017 年度非经常性损益对净利润的影响金额约 6,000 万元。"
0,000738.SZ,20180411,20180331,预增,45.0,64.0,5300.0,6000.0,预计:净利润5300-6000,公司以提高经济发展质量和效益为中心，进一步加强产业结构调整，在聚集资源投入主业的同时，压缩盈利能力较低且与战略契合度较低的业务规模，本期销售商品结构较上年同期有所变化，销售毛利率提高。.
0,600316.SH,20190129,20181231,预增,334.0,399.0,13300.0,15300.0,预计:净利润13300-15300,"本次业绩预增主要是由于非经常性损益所致。经财务部门初步核算，报告期内公司获得厂房拆迁征收补偿款影响损益10,780万元,较去年增加4,760万元；出售中航电测股票获得投资收益约17,374万元，较去年增加9,757万元。"
1,600316.SH,20180127,20171231,预增,150.0,197.0,2760.0,3280.0,预计:净利润2760-3280,"（一）非经常性损益的影响：本次业绩预增主要是由于非经常性损益所致。经财务部门初步核算，报告期内公司获得厂房征收搬迁停产、停业补偿影响损益约4,700万元，出售中航电测股票获取投资收益约7,750万元。（二）主营业务影响：公司2017年度主营业务收入较上年同期略有下降，而财务费用增加。"
0,002013.SZ,20190315,20190331,略增,0.0,30.0,4727.0,6145.0,预计:净利润4727-6145,公司业务有序开展，正常生产经营。
1,002013.SZ,20181026,20181231,略增,5.0,35.0,74494.0,95778.0,预计:净利润74494-95778,公司已于2018年二季度收购新航集团、宜宾三江机械的100%股权上年同期归属于上市公司股东的净利润追溯调整为70947万元。此外公司正常生产经营不存在影响业绩大幅变动的事项。
2,002013.SZ,20180831,20180930,略增,5.0,35.0,41241.0,53024.0,预计:净利润41241-53024,"公司已于2018年二季度收购新航集团、宜宾三江机械的100%股权，上年同期归属于上市公司股东的净利润追溯调整为39,276.99万元。此外，公司正常生产经营，不存在影响业绩大幅变动的事项。"
3,002013.SZ,20180423,20180630,略增,0.0,30.0,25480.0,33124.0,预计:净利润25480-33124,"公司于2018年二季度收购新航集团、宜宾三江机械100%的股权，上年同期归属于上市公司股东的净利润追溯调整为25,479.79万元。此外，公司正常生产经营，不存在影响业绩大幅变动的事项。"
4,002013.SZ,20180306,20180331,预增,115.0,145.0,1165.0,1328.0,预计:净利润1165-1328,公司正常生产经营，2018年一季度产品交付好于去年同期，使得2018年一季度利润比2017年一季度相对较好。
0,002190.SZ,20190413,20190331,续亏,-29.7507,-1.3677,-3200.0,-2500.0,预计:净利润-3200--2500,本次修正后的业绩预告比2018年年度报告中所预告的2019年第一季度归属于上市公司股东的净利润有所上升，主要原因系子公司中航锂电（洛阳）有限公司本期销售产品实际毛利率高于预计。
1,002190.SZ,20190322,20190331,续亏,-139.2278,-86.5166,-5900.0,-4600.0,预计:净利润-5900--4600,公司业绩同比下滑主要是由于锂电业务业绩下滑所致。具体原因为：1、预计锂电池销售单价同比下降，导致锂电池业务毛利率同比下降；2、锂电业务研发投入量同比增长，研发费用同比增加。
